Total number of comments: 801781
Total count of topic tags: {'fairbusiness': 421639, 'formletters': 514868, 'freegov': 8665, 'ideafreedom': 411656})



Overlap Topics:
1 topic only:
fairbusiness': 187845, 
'freegov': 4925
'ideafreedom': 177908

2 topics:
freegov+freebiz 1287
idea+freebiz 231295
freegov+idea 1241

all 3:
1212

none:
192432


By State:

Total
NOT_SPECIFIED 0.280782408164
CT 0.00126947489902
WV 0.00126947489902
ME 0.00115406809002
IA 0.00115406809002
MS 0.00103866128102
ID 0.00103866128102
NM 0.00103866128102
MA 0.000923254472014
AK 0.000807847663012
MT 0.00069244085401
NH 0.000577034045009
VT 0.000461627236007
WY 0.000461627236007
HI 0.000461627236007
DE 0.000461627236007
ND 0.000346220427005
DC 0.000346220427005
RI 0.000115406809002
VI 0.000115406809002



ideafreedom
CA 0.388691043007
NOT_SPECIFIED 0.0856588996638
NY 0.0448554132577
TX 0.0362705754319
FL 0.0304623277688
WA 0.0261674796432
IL 0.0255164506287
PA 0.0224386380862
MA 0.0194264142877
OR 0.0180101832598
CO 0.0178595720699
MI 0.0175607789028
OH 0.0174125969256
NJ 0.0164409118293
VA 0.0148473482714
GA 0.0137371980489
NC 0.0136837553686
AZ 0.0136084497736
MN 0.0125007287638
MD 0.0121922187457
DC 0.0112010999475
WI 0.01016625532
IN 0.0100982373632
MO 0.00959296111316
TN 0.00910226013953
CT 0.00711759333035
UT 0.00695483607672
KY 0.00571107915347
NM 0.00521551975436
OK 0.00509405911732
IA 0.00505519171347
NV 0.00498231533125
SC 0.00489729288532
AL 0.00485842548147
KS 0.00484870863051
LA 0.0044843267194
NH 0.00430213576384
ME 0.00422683016888
ID 0.00380414715199
AR 0.00350292477214
NE 0.00306566647881
HI 0.00288590473599
VT 0.00248994305925
RI 0.0022543094234
SD 0.00225188021066
MT 0.00223487572148
WV 0.00209155216977
MS 0.00204053870222
AK 0.0019798083837
DE 0.00182919719377
PR 0.00109557494607
WY 0.00109314573333
ND 0.00109071652059
VI 0.000772489651554
GU 0.000145752764444
PW 3.15797656296e-05
FM 3.15797656296e-05
AS 2.91505528888e-05
MH 1.94337019259e-05
MP 9.71685096294e-06


